,sampling,evaluations,regression,shapiq_post_processing,total,game_id,id_explain,approximator,budget,n_players,id_config_approximator
0,0.0004906654357910156,0.013265132904052734,0.0004603862762451172,4.0531158447265625e-05,0.014256715774536133,california_housing_random_forest,1,OldLeverageSHAP,9,8,37
0,0.0005176067352294922,0.014798164367675781,0.00019884109497070312,3.552436828613281e-05,0.01555013656616211,california_housing_random_forest,1,OldLeverageSHAP,13,8,37
0,0.0005764961242675781,0.025362253189086914,0.0002453327178955078,3.838539123535156e-05,0.02622246742248535,california_housing_random_forest,1,OldLeverageSHAP,18,8,37
0,0.0008575916290283203,0.03967761993408203,0.0002834796905517578,4.839897155761719e-05,0.04086709022521973,california_housing_random_forest,1,OldLeverageSHAP,27,8,37
0,0.0012788772583007812,0.05871272087097168,0.0003113746643066406,4.601478576660156e-05,0.0603489875793457,california_housing_random_forest,1,OldLeverageSHAP,39,8,37
0,0.002003908157348633,0.10168313980102539,0.00039577484130859375,6.103515625e-05,0.10414385795593262,california_housing_random_forest,1,OldLeverageSHAP,57,8,37
0,0.0027153491973876953,0.1710376739501953,0.0005321502685546875,5.412101745605469e-05,0.17433929443359375,california_housing_random_forest,1,OldLeverageSHAP,83,8,37
0,0.0035293102264404297,0.17965292930603027,0.0005173683166503906,4.7206878662109375e-05,0.1837468147277832,california_housing_random_forest,1,OldLeverageSHAP,121,8,37
0,0.003766775131225586,0.2592616081237793,0.0004909038543701172,4.6253204345703125e-05,0.2635655403137207,california_housing_random_forest,1,OldLeverageSHAP,176,8,37
0,0.0007822513580322266,0.34854888916015625,0.0004582405090332031,4.9591064453125e-05,0.3498389720916748,california_housing_random_forest,1,OldLeverageSHAP,256,8,37
0,0.000476837158203125,0.01363515853881836,0.00047278404235839844,2.0503997802734375e-05,0.014605283737182617,california_housing_random_forest,1,PolySHAP-2ADD,9,8,37
0,0.0005640983581542969,0.01595139503479004,0.0004954338073730469,2.0742416381835938e-05,0.01703166961669922,california_housing_random_forest,1,PolySHAP-2ADD,13,8,37
0,0.0006506443023681641,0.027068614959716797,0.0005548000335693359,2.3365020751953125e-05,0.02829742431640625,california_housing_random_forest,1,PolySHAP-2ADD,18,8,37
0,0.0009369850158691406,0.041811227798461914,0.000640869140625,3.6716461181640625e-05,0.043425798416137695,california_housing_random_forest,1,PolySHAP-2ADD,27,8,37
0,0.0013585090637207031,0.05762362480163574,0.0007309913635253906,2.6464462280273438e-05,0.05973958969116211,california_housing_random_forest,1,PolySHAP-2ADD,39,8,37
0,0.0019652843475341797,0.08548879623413086,0.0007576942443847656,2.6702880859375e-05,0.08823847770690918,california_housing_random_forest,1,PolySHAP-2ADD,57,8,37
0,0.002315044403076172,0.1383657455444336,0.0008299350738525391,2.8133392333984375e-05,0.1415388584136963,california_housing_random_forest,1,PolySHAP-2ADD,83,8,37
