approximator,id_config_approximator,used_budget,n_players,MSE_mean,MSE_q1,MSE_q2,MSE_q3,game_id
SVARM,37,179,16,0.038007892989001237,0.027625732676440848,0.0351181304124928,0.04839156979054567,CIFAR-10 ViT16 ($d=16$)
SVARM,37,394,16,0.005518544585351793,0.00286828379637115,0.0038017581558058497,0.00690281204985095,CIFAR-10 ViT16 ($d=16$)
SVARM,37,864,16,0.0019856466545790465,0.001185937907240075,0.0018811100269323,0.0022376546163332,CIFAR-10 ViT16 ($d=16$)
SVARM,37,1895,16,0.000775613469099937,0.00035451844685005003,0.00070780592414305,0.00097212193129215,CIFAR-10 ViT16 ($d=16$)
SVARM,37,4156,16,0.0002896031504703405,0.000139732552157275,0.000244293522659,0.000366616415294725,CIFAR-10 ViT16 ($d=16$)
SVARM,37,9117,16,7.288770853756496e-05,3.46867359247365e-05,6.2596623670236e-05,0.0001066689483361,CIFAR-10 ViT16 ($d=16$)
SVARM,37,20000,16,2.638133324276493e-05,9.81193153047376e-06,1.979352847160797e-05,3.7725288918400653e-05,CIFAR-10 ViT16 ($d=16$)
SVARM,39,17,16,0.3195701595266388,0.2381544659212886,0.31760906569440817,0.3780561903552305,CIFAR-10 ViT16 ($d=16$)
SVARM,39,37,16,0.2626841721378811,0.18173314239229063,0.22323244752135424,0.33464616923225576,CIFAR-10 ViT16 ($d=16$)
SVARM,39,82,16,0.17553158202830027,0.11938955231957485,0.18860218872491635,0.22235471063232315,CIFAR-10 ViT16 ($d=16$)
SVARM,39,179,16,0.054374261696967775,0.04169908256437705,0.0509788927414347,0.060057359123145776,CIFAR-10 ViT16 ($d=16$)
SVARM,39,394,16,0.0072894450399789935,0.0053331481214325,0.00645819409338885,0.008481341337019475,CIFAR-10 ViT16 ($d=16$)
SVARM,39,864,16,0.0017687898080136534,0.001139314543953725,0.00158565236675205,0.002370759162743725,CIFAR-10 ViT16 ($d=16$)
SVARM,39,1895,16,0.0006006521286266123,0.00034089161460312497,0.00048175472781194996,0.0008003628291151749,CIFAR-10 ViT16 ($d=16$)
SVARM,39,4156,16,0.00021483105481360902,0.0001122604053204,0.00021772444421595,0.00028275203863555,CIFAR-10 ViT16 ($d=16$)
SVARM,39,9117,16,9.051696828752584e-05,2.9953091366690814e-05,7.831208916812124e-05,0.00013593568502255,CIFAR-10 ViT16 ($d=16$)
SVARM,39,20000,16,1.6016319777989225e-05,7.669080825680273e-06,1.4894253618553884e-05,2.1979255133380335e-05,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,37,15,14,0.00813364236932798,0.0024274197050688498,0.0078302353488972,0.0118128484526778,ResNet18 ($d=14$)
LeverageSHAP,37,33,14,0.013585298946168587,0.002255829323800275,0.00955124629490945,0.019265221426022727,ResNet18 ($d=14$)
LeverageSHAP,37,71,14,0.0028523268703059,0.000689146226597575,0.0020437590120738,0.004204391897160525,ResNet18 ($d=14$)
LeverageSHAP,37,154,14,0.0004929985557583315,0.000122580676102725,0.0002446935190452,0.0006966430557211,ResNet18 ($d=14$)
LeverageSHAP,37,336,14,0.00017635672910118515,3.051613871755416e-05,0.00013129752654054998,0.000232913055657075,ResNet18 ($d=14$)
LeverageSHAP,37,731,14,7.102702429017723e-05,1.2117928183832256e-05,3.892097532235887e-05,8.840625577827346e-05,ResNet18 ($d=14$)
LeverageSHAP,37,1591,14,2.574047155102307e-05,5.519175323758106e-06,1.761890299867313e-05,3.471708350316169e-05,ResNet18 ($d=14$)
LeverageSHAP,37,3461,14,8.862435654773096e-06,2.175538192590848e-06,4.595655858466265e-06,1.4258643978276434e-05,ResNet18 ($d=14$)
LeverageSHAP,37,7531,14,1.7788142232939876e-06,5.368244981520903e-07,9.759354832429933e-07,2.298518121395856e-06,ResNet18 ($d=14$)
LeverageSHAP,37,16384,14,9.541314344171643e-32,1.1934102281509344e-32,3.9983681309725e-32,1.293614471619064e-31,ResNet18 ($d=14$)
LeverageSHAP,39,15,14,0.03126716109943967,0.0089642760961365,0.03165860831759665,0.04813260390622767,ResNet18 ($d=14$)
LeverageSHAP,39,33,14,0.009793302478390633,0.002149686732386425,0.00614422688126185,0.015764540045607928,ResNet18 ($d=14$)
LeverageSHAP,39,71,14,0.00279479144625328,0.0007363094106145499,0.00160025113264535,0.004332720266264425,ResNet18 ($d=14$)
LeverageSHAP,39,154,14,0.0008696092787461334,0.000328097561085275,0.0007408264051433,0.0011630710336358,ResNet18 ($d=14$)
LeverageSHAP,39,336,14,0.00039679942679569404,7.894339051494665e-05,0.00025139603458695003,0.000551215503272,ResNet18 ($d=14$)
